created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
Wed Feb 15 16:08:36 +0000 2017	|	Tammy Duckworth	|	1058520120	|	831898009675907072	|	null	|	Enjoyed the chance to learn more about urban #horticulture from Chicago Botanic Garden President &amp; CEO, Jean Francz… https://t.co/pgJtJlL7GB	|	$#%
Wed Feb 15 16:10:30 +0000 2017	|	Senator Ron Johnson	|	233737858	|	831898491064549377	|	null	|	Glad @EPWMaj invited @WIFarmBureau’s Jim Holte to provide insight today on Endangered Species Act’s unintended, neg… https://t.co/q7XM8Xd1MW	|	$#%
Wed Feb 15 16:13:40 +0000 2017	|	Chuck Schumer	|	17494010	|	831899288254939138	|	null	|	Outrageous that w/ Nat'l Security the top issue, the GOP would pass a bill to weaken FBI’s firearms &amp; explosives background-check system.	|	$#%
Wed Feb 15 16:16:49 +0000 2017	|	Leader McConnell	|	1249982359	|	831900081301381120	|	null	|	.@POTUS picked the best Circuit Judge in the country. @GorsuchFacts is a fantastic candidate and will be confirmed… https://t.co/Dp6pZPUPdG	|	$#%
Wed Feb 15 16:16:48 +0000 2017	|	Senator Tom Carper	|	249787913	|	831900073541902336	|	null	|	I remind my colleagues: the #EndangeredSpeciesAct's value is not just the inherent value of the animals and plants… https://t.co/CcbsSCsvbd	|	$#%
Wed Feb 15 16:16:47 +0000 2017	|	Sen. Patrick Leahy	|	242836537	|	831900070878523393	|	null	|	Leahy Joins In Asking Atty Gen Sessions To Appoint Independent Special Counsel To Investigate Flynn/Russia Matters: https://t.co/CXa64PBXgO	|	$#%
Wed Feb 15 16:17:22 +0000 2017	|	Shelley Moore Capito	|	193794406	|	831900215732994048	|	null	|	Just voted to protect the #SecondAmendment rights of law-abiding Americans: https://t.co/PUfLAeXRA8 #2A	|	$#%
Wed Feb 15 16:18:49 +0000 2017	|	Sen. James Lankford	|	225921757	|	831900582831079424	|	null	|	As we work to #endslavery worldwide, we must stand for the human rights of ALL persecuted people, regardless of gender, age, or religion.	|	$#%
Wed Feb 15 16:19:52 +0000 2017	|	Chuck Schumer	|	17494010	|	831900844991856641	|	null	|	GOP just rolled back protections Pres. Bush initiated following the #VirginiaTech shooting. This does nothing to improve nat'l security.	|	$#%
Wed Feb 15 16:23:34 +0000 2017	|	Chris Murphy	|	150078976	|	831901777930907648	|	null	|	Senate GOP just spent last 2 days on a bill to weaken the firearms criminal background check system. Bc really, nothing else is going on.	|	$#%
Wed Feb 15 16:24:03 +0000 2017	|	Kirsten Gillibrand	|	72198806	|	831901900853370881	|	null	|	Disturbing that Trump's admin knew for a month that Flynn had misled the Vice President and did nothing until information became public.	|	$#%
Wed Feb 15 16:24:01 +0000 2017	|	Sen. Jeanne Shaheen	|	109287731	|	831901890258538497	|	null	|	I support setting up an independent probe into Russian election interference &amp; contact w/ Trump aides. Should have broad subpoena power	|	$#%
Wed Feb 15 16:24:39 +0000 2017	|	Kirsten Gillibrand	|	72198806	|	831902048899706881	|	72198806	|	And I am troubled by reports of Russian interference in our Presidential election.	|	$#%
Wed Feb 15 16:25:01 +0000 2017	|	Senator Ron Johnson	|	233737858	|	831902141795020800	|	null	|	.@WIFarmBureau’s Jim Holte tells @EPWMaj today #WI gray wolf population has serious impact on farmers. https://t.co/vAzTijCiIN	|	$#%
Wed Feb 15 16:26:25 +0000 2017	|	Kirsten Gillibrand	|	72198806	|	831902496499044355	|	72198806	|	We need answers, which is why there must be an independent investigation to get all the facts regarding the Trump administration and Russia.	|	$#%
Wed Feb 15 16:27:21 +0000 2017	|	Senator Dick Durbin	|	247334603	|	831902731166216192	|	null	|	MORNING READ: What’s playing in Peoria? @PJstar calls on GOP to join Dems &amp; investigate troubling reports of… https://t.co/reS4mYraZK	|	$#%
Wed Feb 15 16:29:37 +0000 2017	|	Senator John Boozman	|	5558312	|	831903300433883136	|	null	|	As a leader of #Senate Air Force Caucus I enjoyed discussing upcoming agenda w/@GenDaveGoldfein &amp; Ms Disbrow Acting… https://t.co/yKQbHVewRN	|	$#%
Wed Feb 15 16:29:50 +0000 2017	|	Kamala Harris	|	30354991	|	831903354817228806	|	null	|	We desperately need leaders in Washington who will stand up to the gun lobby. This crisis is destroying lives and h… https://t.co/QECH9mItmd	|	$#%
Wed Feb 15 16:30:18 +0000 2017	|	Tom Cotton	|	968650362	|	831903472534564865	|	null	|	I joined @JohnBoozman and @RepFrenchHill in introducing the Children's Consignment Event Recognition Act. More: https://t.co/fgpyJW8wRl	|	$#%
Wed Feb 15 16:32:12 +0000 2017	|	Claire McCaskill	|	16160352	|	831903951800791040	|	null	|	The question no one can answer yet...why does President Trump refuse to criticize Putin? We must have that answer for our nation's security.	|	$#%
Wed Feb 15 16:34:06 +0000 2017	|	Jerry Moran	|	18632666	|	831904430274576385	|	null	|	#KansasCommonSense—update on @FortLeavenworth, ongoing recovery efforts from last year's Anderson Creek fire + more. https://t.co/PtoeILTiz2	|	$#%
Wed Feb 15 16:34:00 +0000 2017	|	Leader McConnell	|	1249982359	|	831904403951144961	|	null	|	#Senate Democrats have prolonged confirming @POTUS' Cabinet because they still refuse to accept the results of the election.	|	$#%
Wed Feb 15 16:34:53 +0000 2017	|	Brian Schatz	|	47747074	|	831904623820697602	|	null	|	AG Jeff Sessions must recuse himself from investigating this matter. Against the law for investigator to have conflict of interest.	|	$#%
Wed Feb 15 16:35:49 +0000 2017	|	Sen. Heidi Heitkamp	|	1061029050	|	831904859259564034	|	null	|	Impt @politico article featuring ND farmer @lentzfarms abt the vast impact of strong trade deals that support ag https://t.co/fo2wMjziNI	|	$#%
Wed Feb 15 16:43:33 +0000 2017	|	Rob Portman	|	18915145	|	831906808264527874	|	null	|	Judge Gorsuch &amp; I had an engaging &amp; productive meeting; I enjoyed our discussion on a host of important issues.… https://t.co/Rf2xWWkC4G	|	$#%
Wed Feb 15 16:47:29 +0000 2017	|	Ron Wyden	|	250188760	|	831907797902188545	|	null	|	I have long said that in America the truth will always eventually come out. https://t.co/FZ8PLlsmli	|	$#%
Wed Feb 15 16:48:10 +0000 2017	|	Ron Wyden	|	250188760	|	831907969134641153	|	250188760	|	That was true with mass surveillance &amp; torture. And, now, Russian interference in our democracy &amp; Trump associates’ connections to Russia.	|	$#%
Wed Feb 15 16:48:17 +0000 2017	|	Rob Portman	|	18915145	|	831907999061049344	|	null	|	A #SCOTUS justice should fairly &amp; impartially apply the law, &amp; protect rights guaranteed by the #Constitution, not… https://t.co/6Oh7oBqnac	|	$#%
Wed Feb 15 16:49:01 +0000 2017	|	Rob Portman	|	18915145	|	831908180624031744	|	null	|	I believe that is exactly what Judge Gorsuch will do should he be confirmed to serve on the #SCOTUS. https://t.co/SBhE1vj5aD	|	$#%
Wed Feb 15 16:49:32 +0000 2017	|	Ron Wyden	|	250188760	|	831908311142367233	|	250188760	|	Transparency is paramount in Senate investigations into Russia’s tampering with our democracy.	|	$#%
Wed Feb 15 16:49:46 +0000 2017	|	Senator Deb Fischer	|	1071402577	|	831908371833950208	|	null	|	Excited to join @AmyKlobuchar as #WHTC Honorary Senate Co-chair. #WomeninTech (1/2)	|	$#%
Wed Feb 15 16:50:14 +0000 2017	|	Senator Deb Fischer	|	1071402577	|	831908488364302337	|	null	|	Look forward to working w/ women in tech &amp; public policy to tackle economic/security issues &lt;link&gt; (2/2)	|	$#%
Wed Feb 15 16:50:36 +0000 2017	|	Ron Wyden	|	250188760	|	831908580244779009	|	250188760	|	I will be fighting tooth and nail for open hearings so the public can know exactly what happened to our democracy. Count on it.	|	$#%
Wed Feb 15 16:52:33 +0000 2017	|	Senator Deb Fischer	|	1071402577	|	831909071896846340	|	null	|	Look forward to working w/ women in tech &amp; public policy to tackle economic/security issues https://t.co/EpqJaHz49v (2/2)	|	$#%
Wed Feb 15 16:54:20 +0000 2017	|	Johnny Isakson	|	78403308	|	831909520330854400	|	null	|	It's essential that the @SocialSecurity protects the fundamental nature of Americans’ rights under the 2nd Amendment https://t.co/V12IQwh2uQ	|	$#%
Wed Feb 15 16:57:22 +0000 2017	|	Rob Portman	|	18915145	|	831910282649858048	|	null	|	Judge Gorsuch has an outstanding record as a fair-minded, independent, &amp; universally-respected judge. I join others… https://t.co/X8FpbpMdkZ	|	$#%
Wed Feb 15 16:57:20 +0000 2017	|	Lindsey Graham	|	432895323	|	831910276689690624	|	null	|	My statement on alleged contacts between Russian intelligence and the Trump campaign. https://t.co/vs5KqQMA9V	|	$#%
Wed Feb 15 16:58:34 +0000 2017	|	Senator Todd Young	|	234128524	|	831910585726009344	|	null	|	It was great meeting you, Bones. Good luck in your game this weekend! https://t.co/RRqCrpBveR	|	$#%
Wed Feb 15 17:00:44 +0000 2017	|	Tom Cotton	|	968650362	|	831911131950280704	|	null	|	READ “Arkansas lawmakers seek to ease rules for consignment events” via @arkansasnews https://t.co/VM8teYQPDV	|	$#%
Wed Feb 15 17:03:23 +0000 2017	|	Tom Udall	|	60828944	|	831911796458024961	|	null	|	Watch live: I’m at the @AspenInstitute to participate in their roundtable about Arts &amp; Government https://t.co/REHaKcP6ZN	|	$#%
Wed Feb 15 17:06:32 +0000 2017	|	Senator Tom Carper	|	249787913	|	831912591584800768	|	null	|	The GOP’s #RepealAndRun plan is creating instability in the insurance markets &amp; insecurity for millions of families https://t.co/vFuJOsBLPw	|	$#%
Wed Feb 15 17:06:36 +0000 2017	|	Amy Klobuchar	|	33537967	|	831912607166713857	|	null	|	Jeff Sessions has a conflict under the law and must recuse himself from a Justice Department investigation. Read th… https://t.co/s7AK1O5cNw	|	$#%
Wed Feb 15 17:07:45 +0000 2017	|	Sen Luther Strange	|	829794295355940900	|	831912898351988740	|	null	|	Proud to cosponsor @SenOrrinHatch's Balanced Budget Amendment. The federal government must learn to live within its… https://t.co/CIHU0lBRJm	|	$#%
Wed Feb 15 17:09:12 +0000 2017	|	Tom Cotton	|	968650362	|	831913262728019968	|	null	|	I am holding a town hall next Wednesday (2/22) at 5:00 PM CT at the Jones Center in Springdale. Hope to see you there!	|	$#%
Wed Feb 15 17:09:48 +0000 2017	|	Tammy Duckworth	|	1058520120	|	831913413194444800	|	null	|	Thanks @CCTrustees for inviting me to speak about the importance of investing in quality &amp; affordable community col… https://t.co/59vb9w1u9c	|	$#%
Wed Feb 15 17:12:00 +0000 2017	|	Kamala Harris	|	30354991	|	831913967207534601	|	null	|	Even before the Oroville Dam emergency, it’s been apparent that we must invest in our neglected infrastructure.
https://t.co/pH7KUh1Vtj	|	$#%
Wed Feb 15 17:18:50 +0000 2017	|	Rob Portman	|	18915145	|	831915684976275456	|	null	|	Thank you Ashton Kutcher (@aplusk) for your powerful testimony &amp; your work to #endtrafficking. I look forward to di… https://t.co/HcfjHVqV8g	|	$#%
Wed Feb 15 17:20:04 +0000 2017	|	Senator Joe Manchin	|	234374703	|	831915996424269824	|	null	|	Our @mineworkers are the hardest working people in America &amp; I won’t stop fighting until we have protected their pe… https://t.co/lwyZx4uxkE	|	$#%
Wed Feb 15 17:20:39 +0000 2017	|	Sen. Heidi Heitkamp	|	1061029050	|	831916144667787264	|	null	|	Honored to receive @AgRetailers's "Legislator of the Year" award for my work to stop harmful OSHA fertilizer standa… https://t.co/xj89MKsXtS	|	$#%
Wed Feb 15 17:23:56 +0000 2017	|	Mike Enzi	|	291756142	|	831916967833587712	|	null	|	The page program allows students to have a front row seat during debates in the US Senate. Apply here.… https://t.co/W1uY1NJUhi	|	$#%
Wed Feb 15 17:25:43 +0000 2017	|	Dean Heller	|	266133081	|	831917417819492359	|	null	|	Proud to receive the @SEIA Solar Champion Award for my work to bolster clean energy development. Fighting to keep… https://t.co/CSWNAacixA	|	$#%
Wed Feb 15 17:26:59 +0000 2017	|	Sen. Tammy Baldwin	|	1074518754	|	831917735470841856	|	null	|	Release: Baldwin Joins Call for Independent Prosecutor to Investigate Trump Officials’ Collusion with Russia https://t.co/RoLGpBkgZb	|	$#%
Wed Feb 15 17:30:21 +0000 2017	|	Tom Cotton	|	968650362	|	831918585291341827	|	null	|	READ “Cotton: 'US should build up its nuclear forces in Europe” via @dcexaminer  https://t.co/mf8ZcLYJDs	|	$#%
Wed Feb 15 17:35:54 +0000 2017	|	Senator Jon Tester	|	515822213	|	831919979406753793	|	null	|	I’m hosting a Facebook Live townhall TONIGHT @ 6:30 p.m. MT.  Tune in &amp; post your questions ahead of time HERE:… https://t.co/iudxVEBjXN	|	$#%
Wed Feb 15 17:38:01 +0000 2017	|	Sen. Maggie Hassan	|	946549322	|	831920514839040005	|	null	|	Trump Admin backed off plans to increase health premiums for older adults following my letter. I still have concerns https://t.co/N4mrv4Mtvo	|	$#%
Wed Feb 15 17:38:12 +0000 2017	|	David Perdue	|	2863210809	|	831920559399325698	|	null	|	Obama Admin’s attempt to prohibit law-abiding Americans from exercising their 2nd Amdt rights is blatant overreach.… https://t.co/mDF3HVJsHL	|	$#%
Wed Feb 15 17:39:15 +0000 2017	|	Senator Thad Cochran	|	555474658	|	831920823434887168	|	null	|	.@SenatorWicker and I voted to overturn an Obama-era reg infringing on 2nd Am. rights of Social Security recipients https://t.co/u6wqcC7DTf	|	$#%
Wed Feb 15 17:44:02 +0000 2017	|	Bill Cassidy	|	55677432	|	831922028479381504	|	null	|	Working towards solutions that replace Obamacare with a system that works/gives you control over your health care. https://t.co/Xl63iRbjHU	|	$#%
Wed Feb 15 17:45:54 +0000 2017	|	Senator Bob Casey	|	171598736	|	831922499763986432	|	null	|	It appears @realDonaldTrump is more concerned w/ media coverage of Gen Flynn than Gen Flynn's actions. Independent… https://t.co/J4GHKrlI2N	|	$#%
Wed Feb 15 17:46:01 +0000 2017	|	Sen. Maria Cantwell	|	117501995	|	831922529111572480	|	null	|	A growing number of you are right to express concern about the Republican effort to repeal the #ACA  https://t.co/Eepm3TQElc	|	$#%
Wed Feb 15 17:47:44 +0000 2017	|	Tammy Duckworth	|	1058520120	|	831922959837253635	|	null	|	Excited to announce I’ll be on the following Commerce Subcommittees: Aviation, Surface Transportation, Communications &amp; Consumer Protection	|	$#%
Wed Feb 15 17:48:46 +0000 2017	|	Tammy Duckworth	|	1058520120	|	831923220991397892	|	1058520120	|	They’re a great fit for IL since we are home to one of the world’s busiest airports @fly2ohare &amp; the busiest freight rail hub in the nation	|	$#%
Wed Feb 15 17:51:34 +0000 2017	|	Tammy Duckworth	|	1058520120	|	831923923973525508	|	1058520120	|	Eager to get to work helping create manufacturing jobs, rebuild our crumbling infrastructure &amp; improve our nation’s transportation system	|	$#%
Wed Feb 15 17:55:08 +0000 2017	|	Senator Ron Johnson	|	233737858	|	831924823202942985	|	null	|	States should be able to manage gray wolf populations without violating #EndangeredSpeciesAct. https://t.co/0L9vtjdBw3	|	$#%
Wed Feb 15 17:56:38 +0000 2017	|	Sen. Heidi Heitkamp	|	1061029050	|	831925198567985161	|	null	|	We all have a role to play to #EndTrafficking in our communities &amp; protect our most valuable resource - our childre… https://t.co/QRLWpw0VAi	|	$#%
Wed Feb 15 17:59:30 +0000 2017	|	Sherrod Brown	|	43910797	|	831925919426162691	|	null	|	Dan was billed nearly $17k for his ER care—despite having health insurance. My new legislation will protect folks f… https://t.co/AxB69Ed6Y1	|	$#%
Wed Feb 15 18:00:01 +0000 2017	|	Senator Ron Johnson	|	233737858	|	831926052217778176	|	null	|	COMING UP: 2:45 ET #HSGAC hearing on fraud, waste &amp; abuse in govt programs Watch https://t.co/MjUFNanQai	|	$#%
Wed Feb 15 18:00:01 +0000 2017	|	Senator Jeff Merkley	|	29201047	|	831926051794198528	|	null	|	More state &amp; local gov’ts aim for 100% #RenewableEnergy. Our federal gov’t must too w/ #100by50 #TodaysClimateFact https://t.co/MGXF4C0Wpk	|	$#%
Wed Feb 15 18:00:26 +0000 2017	|	Sherrod Brown	|	43910797	|	831926153267003392	|	43910797	|	Dan is only one of the thousands of Ohioans who'd benefit from the End Surprise Billing Act. Learn more here: https://t.co/l5fiRFBmXk	|	$#%
Wed Feb 15 18:01:34 +0000 2017	|	Senator Bob Corker	|	73303753	|	831926440136495124	|	null	|	27 million people are enslaved globally. Before today’s #SFRC hearing, I discussed the #EndSlaveryAct and… https://t.co/EcIXgw4UlX	|	$#%
Wed Feb 15 18:03:02 +0000 2017	|	Sen. Heidi Heitkamp	|	1061029050	|	831926809679630336	|	null	|	Intro bipartisan bill that would help #EndTrafficking by training medical professionals to identify/report/protect… https://t.co/z1eON0bnHW	|	$#%
Wed Feb 15 18:06:17 +0000 2017	|	Sen. James Lankford	|	225921757	|	831927627875307520	|	null	|	Great to have @OTripleC President Jerry Steward stop by my DC office to talk #highered https://t.co/s4pqbGU1hf	|	$#%
Wed Feb 15 18:14:19 +0000 2017	|	Senator Bob Menendez	|	18695134	|	831929649538093056	|	null	|	Andrew Puzder is no more equipped to protect workers from abusive employers than the fox is guarding the hen house… https://t.co/m5Cx7u4DEO	|	$#%
Wed Feb 15 18:16:27 +0000 2017	|	Jeff Flake	|	16056306	|	831930185637310465	|	null	|	Great to see @POTUS welcoming @IsraeliPM Netanyahu to the WH. Our relationship #Israel is strong and enduring https://t.co/1aMKEJm57b	|	$#%
Wed Feb 15 18:18:11 +0000 2017	|	Senator Tim Kaine	|	172858784	|	831930623354949637	|	null	|	Outrageous. The American people deserve an independent &amp; transparent investigation. https://t.co/hl8wPZNalR	|	$#%
Wed Feb 15 18:20:43 +0000 2017	|	Senator Jeff Merkley	|	29201047	|	831931258880028672	|	null	|	There’s no way #Puzder should be anywhere near the Department of Labor. https://t.co/56YrbIq6Ks	|	$#%
Wed Feb 15 18:22:14 +0000 2017	|	Sheldon Whitehouse	|	242555999	|	831931640704356355	|	null	|	Seriously? Republicans' priority should be our natl security. For 2 days, it's been a bill to weaken the firearms background check system.	|	$#%
Wed Feb 15 18:23:54 +0000 2017	|	Tom Cotton	|	968650362	|	831932059170045952	|	null	|	I joined @JohnBoozman in asking the administration to relieve Americans of Obamacare burdens. More: https://t.co/zfW6qs873i	|	$#%
Wed Feb 15 18:27:53 +0000 2017	|	Sen. Tammy Baldwin	|	1074518754	|	831933064934744065	|	null	|	“An independent investigation is now necessary to determine what General Flynn did, who knew about it, and when." https://t.co/RoLGpBkgZb	|	$#%
Wed Feb 15 18:28:24 +0000 2017	|	Senator Bob Corker	|	73303753	|	831933193309868036	|	null	|	Thankful for Ashton Kutcher and the work @thorn is doing to rescue trafficking victims. It was great to have him on… https://t.co/7nG6xx6b5G	|	$#%
