created_at	username	userid	tweet_id_str	in_reply_to_user_id	text
Fri Feb 03 14:06:49 +0000 2017	Senator Tom Carper	249787913	827518707584868352	null	I stand with Delaware's teachers, parents and students to oppose the nomination of Betsy DeVos. We can do better. O… https://t.co/Km1dH08FRY
Fri Feb 03 14:26:44 +0000 2017	Chris Murphy	150078976	827523720268890115	null	My latest for @HuffingtonPost on how Trump's reckless actions are bringing us closer to war with Iran: https://t.co/x7phcu9HGc
Fri Feb 03 14:27:04 +0000 2017	Senator Ben Cardin	109071031	827523804452753409	null	We need to bring Bob home to his family https://t.co/FLDbswrEzS
Fri Feb 03 14:28:07 +0000 2017	Johnny Isakson	78403308	827524067876098048	null	I've worn my @AtlantaFalcons lapel pin all week to support my home team. @GovernorDeal has declared it "Falcons Fri… https://t.co/rc2l1fq6nu
Fri Feb 03 14:33:22 +0000 2017	Senator John Boozman	5558312	827525391376080897	null	Very blessed to co-host the #NationalPrayerBreakfast. Read @arkansasonline story Arkansans: Prayer meals uplifting https://t.co/xpqqJEP9kG
Fri Feb 03 14:35:15 +0000 2017	Cory Gardner	235217558	827525863478591488	null	Colorado’s D.C. delegation rises above fray to back “commonsense” bipartisan, public lands bills

https://t.co/KIyIiZu64p #copolitics
Fri Feb 03 14:38:51 +0000 2017	Senator Jeff Merkley	29201047	827526770614292487	null	Thank you @OregonGovBrown for reaffirming that hate and exclusion have no place in OR. OR is and always will be a w… https://t.co/8vCVI24SAt
Fri Feb 03 14:47:57 +0000 2017	Senator Ben Cardin	109071031	827529061517910016	null	&lt;48hrs, RepublicanSenate has confirmed ex-head of #ExxonMobil as SecState &amp; repealed an anti-corruption rule ExxonM… https://t.co/kVGYOLbGZV
Fri Feb 03 14:49:27 +0000 2017	Senator Ben Cardin	109071031	827529436421578753	null	Transparency is the best antidote to corruption and the resource curse https://t.co/x1YS640lTr
Fri Feb 03 14:49:42 +0000 2017	Sen. Heidi Heitkamp	1061029050	827529499499757569	null	ICYMI - spoke on the Senate floor this morning to urge my colleagues to vote no on Betsy DeVos to lead Dept. of Ed. https://t.co/h4vpRgeJyT
Fri Feb 03 14:59:56 +0000 2017	Senator Bob Menendez	18695134	827532076253601794	null	As an early #ValentinesDay gift GOP weakens Wall Street reform as a sweetheart deal to Big Oil… https://t.co/xD2mlCDbZf
Fri Feb 03 15:00:12 +0000 2017	Senator Jon Tester	515822213	827532145065345026	null	Tune in! I’m on the Senate Floor sharing some of the thousands of letters I've received opposing Betsy DeVos. #mtpol https://t.co/SJXr5FboXn
Fri Feb 03 15:00:22 +0000 2017	Sen. Heidi Heitkamp	1061029050	827532185418756096	null	Read @inforum editorial on why Betsy DeVos, Dept of Ed nominee, would be bad for public ND public schools &amp; students https://t.co/jtR3sW6ZPf
Fri Feb 03 15:06:11 +0000 2017	Amy Klobuchar	33537967	827533651273515008	null	So glad this family is reunited. But many have been torn from loved ones by President's order. It must be reversed. https://t.co/gv6XUWbt7E
Fri Feb 03 15:11:14 +0000 2017	Senator Patty Murray	293131808	827534921166118912	null	As a former preschool teacher, a former school board member, &amp; Senator committed to strong for public education, Mu… https://t.co/ejusyVPyzk
Fri Feb 03 15:17:15 +0000 2017	Sherrod Brown	43910797	827536436106760192	null	.@vindicator is right. That's why Sherrod laid out his plan to support Ohio jobs building strong Ohio infrastructur… https://t.co/2tP6q2a4Vq
Fri Feb 03 15:18:13 +0000 2017	Sen. James Lankford	225921757	827536678504058881	null	Great to hear from OK educators including Ms. Grier who has taught in public &amp; private OK schools &amp; supports #BetsyDeVos for Dept. of Ed.
Fri Feb 03 15:21:49 +0000 2017	Sen. Maggie Hassan	946549322	827537585350258688	null	I’m voting no on Betsy #DeVos because she is unqualified &amp; unprepared. Read my @nytimes Op-Ed: https://t.co/mmiqlxxKTY
Fri Feb 03 15:23:51 +0000 2017	Ted Cruz	23022687	827538094169677825	null	Democrats will not succeed in filibustering #SCOTUS nominee. Judge Gorsuch will be confirmed https://t.co/h5O4H74eSL https://t.co/ePc0StGgrH
Fri Feb 03 15:27:12 +0000 2017	Sherrod Brown	43910797	827538940420878336	null	Wall St banks are enjoying record profits. @realDonaldTrump don’t hand them the pen to write their own rules &amp; make consumers pay the price.
Fri Feb 03 15:32:03 +0000 2017	Senator Bob Corker	73303753	827540160913014785	null	Today's sanctions make clear that it is a new day in U.S.-Iran relations and that we will no longer tolerate Iran’s… https://t.co/oTUL0FNAZN
Fri Feb 03 15:32:32 +0000 2017	Senator Ben Cardin	109071031	827540278886146048	null	In Baltimore speaking about the #SCOTUS nom. Judge #Gorsuch must be vetted &amp; prove himself a mainstream jurist. Fri… https://t.co/l2Dg7gGwGv
Fri Feb 03 15:35:41 +0000 2017	Tom Cotton	968650362	827541073836777473	null	Mike Morell says new @CIA Deputy Director Gina Haspel is “no-nonsense, ha(s) grit...and yet a big dose of humanity." https://t.co/vWYIWHKDY7
Fri Feb 03 15:41:32 +0000 2017	Senator Ben Cardin	109071031	827542543466393601	null	I won't be intimidated by either GOP or @POTUS threats to hurry #Gorsuch's vetting process. I will not be casual about #SCOTUS' future.
Fri Feb 03 15:43:35 +0000 2017	Steve Daines	11651202	827543059562975233	null	Daines talks timber, trade with Agriculture secretary nominee https://t.co/FJCpC5RsB7
Fri Feb 03 15:46:01 +0000 2017	Sen. Maria Cantwell	117501995	827543673248288769	null	Betsy #DeVos misses the importance of public schools to working families &amp; giving every student a chance to succeed.
Fri Feb 03 15:51:33 +0000 2017	Senator Ben Cardin	109071031	827545067166498816	null	The future of our country is worth getting fired up! https://t.co/5U3ay2LPaP
Fri Feb 03 15:53:11 +0000 2017	Tammy Duckworth	1058520120	827545476132118532	null	I'm wearing red today to help spread awareness about the importance of heart health screenings. #WearRedDay https://t.co/0LZj09Jd3U
Fri Feb 03 15:56:08 +0000 2017	Senator John Thune	296361085	827546218704281604	null	I believe that if anyone can fill Justice Scalia’s shoes, Judge Neil Gorsuch can.
Read more in this week’s column: https://t.co/j1ZsDAlJpd
Fri Feb 03 15:57:14 +0000 2017	Sen. James Lankford	225921757	827546497759715330	null	#BetsyDeVos will work to transfer education policy control from Washington, DC back to states, parents, &amp; local lea… https://t.co/9hihpz6SM6
Fri Feb 03 15:57:50 +0000 2017	Senator Mazie Hirono	92186819	827546649186725892	null	#DearBetsy I learned how to speak English in public schools. Education is foundational &amp; our students deserve better https://t.co/KKintwpRzc
Fri Feb 03 15:59:13 +0000 2017	David Perdue	2863210809	827546994994475011	null	Betsy DeVos is a tireless advocate for children &amp; I look forward to supporting her confirmation. https://t.co/qt5GY1YclG
Fri Feb 03 16:00:03 +0000 2017	Kirsten Gillibrand	72198806	827547207284846592	null	We can't give Neil Gorsuch the deciding SCOTUS vote. If you agree: https://t.co/SQLgo6Uv5i
Fri Feb 03 16:02:54 +0000 2017	Steve Daines	11651202	827547923785334784	null	America has new leadership that won’t tolerate the world’s leading state sponsor of terror acting as an aggressor.
Fri Feb 03 16:05:42 +0000 2017	Sen. Patrick Leahy	242836537	827548627862188036	null	Senator Patrick Leahy's Statement On The Resignation Of Eric Miller, U.S. Attorney For The District Of Vermont: https://t.co/ioCZdnE4WQ
Fri Feb 03 16:11:44 +0000 2017	Sen. Maggie Hassan	946549322	827550146795859968	null	I’m wearing red to raise awareness about heart disease as the leading cause of death among women in the U.S.… https://t.co/OBgm77QQKi
Fri Feb 03 16:14:09 +0000 2017	Senator Todd Young	234128524	827550754546339840	null	We are ending the era of overregulation. Read more from my op-ed in the Evansville Courier and Press. 
https://t.co/DaL6RFvRuQ
Fri Feb 03 16:15:48 +0000 2017	Sen. Patrick Leahy	242836537	827551171044896770	null	WATCH: Leahy opposes res. to kill #SEC Resource Extraction anti-kleptocracy rule: https://t.co/qwNLg7sgWT @OxfamAmerica #Russia #BigOil @HRW
Fri Feb 03 16:16:32 +0000 2017	Dean Heller	266133081	827551354335936512	null	I believe #NV should choose how to improve its sage-grouse population while protecting economic stability. MORE: https://t.co/ZM8c7VAG3r
Fri Feb 03 16:17:18 +0000 2017	Johnny Isakson	78403308	827551545331953669	null	We apologize to those experiencing difficulty getting through to our office. You can always email me via my website… https://t.co/f1syW3zs9v
Fri Feb 03 16:20:11 +0000 2017	Leader McConnell	1249982359	827552272741781505	null	The #Democrats’ far-left base is apoplectic, demanding opposition at any cost, including @POTUS' Cabinet. https://t.co/CVlLcz90Q9
